Date	,Precipitation (mm)	,Max Temp (C)	,Min Temp (C)	,Snowfall (mm)	,Snow Depth(mm)
2019-03-19	,15.466666666666667	,25.0	,9.433333333333335	,0.0	,None
2019-03-20	,31.349999999999994	,20.528571428571436	,9.842857142857143	,0.0	,None
2019-03-21	,21.41176470588235	,17.666666666666668	,7.300000000000001	,0.0	,None
2019-03-22	,0.0	,19.028571428571432	,4.914285714285715	,0.0	,None
2019-03-23	,14.947368421052632	,18.000000000000004	,8.014285714285714	,0.0	,None
2019-03-24	,13.444444444444443	,19.042857142857144	,4.1000000000000005	,0.0	,None
2019-03-25	,0.20000000000000007	,22.460000000000004	,5.1	,0.0	,None
2019-03-26	,0.5714285714285715	,23.240000000000002	,7.6800000000000015	,0.0	,None
2019-03-27	,25.071428571428573	,21.0	,10.560000000000002	,0.0	,None
2019-03-28	,45.0	,19.560000000000002	,8.660000000000004	,0.0	,None
2019-03-29	,0.0	,19.66	,6.2200000000000015	,0.0	,None
2019-03-30	,0.0	,21.220000000000002	,5.000000000000001	,0.0	,None
2019-03-31	,0.0	,22.98	,6.540000000000001	,0.0	,None
2019-04-01	,0.0	,25.0	,8.240000000000002	,0.0	,None
2019-04-02	,7.0588235294117645	,24.099999999999998	,10.125	,0.0	,None
2019-04-03	,33.6875	,22.220000000000002	,7.88	,0.0	,None
2019-04-04	,0.0	,20.8	,8.900000000000002	,0.0	,None
2019-04-05	,0.0	,20.68	,8.66	,0.0	,None
2019-04-06	,0.0	,23.0	,9.120000000000001	,0.0	,None
2019-04-07	,0.0	,25.275000000000002	,9.425	,0.0	,None
2019-04-08	,0.0	,26.220000000000002	,11.780000000000001	,0.0	,None
2019-04-09	,0.0	,22.8	,9.579999999999998	,0.0	,None
2019-04-10	,0.0	,20.825	,4.8500000000000005	,0.0	,None
2019-04-11	,0.0	,20.56	,5.900000000000001	,0.0	,None
2019-04-12	,0.0	,21.000000000000004	,5.780000000000001	,0.0	,None
2019-04-13	,0.0	,24.34	,8.440000000000003	,0.0	,None
2019-04-14	,0.0	,27.1	,9.575	,0.0	,None
2019-04-15	,8.642857142857144	,25.560000000000002	,11.120000000000001	,0.0	,None
2019-04-16	,36.55555555555556	,22.56	,10.120000000000001	,0.0	,None
2019-04-17	,0.9285714285714286	,22.34	,8.340000000000002	,0.0	,None
2019-04-18	,0.0	,28.12	,10.32	,0.0	,None
2019-04-19	,0.0	,31.66	,12.9	,0.0	,None
2019-04-20	,0.0	,24.266666666666666	,10.0	,0.0	,None
2019-04-21	,0.0	,26.240000000000002	,7.220000000000001	,0.0	,None
2019-04-22	,0.0	,27.640000000000004	,8.66	,0.0	,None
2019-04-23	,0.0	,30.000000000000004	,12.88	,0.0	,None
2019-04-24	,0.0	,32.9	,15.020000000000001	,0.0	,None
2019-04-25	,0.0	,34.92	,16.220000000000002	,0.0	,None
2019-04-26	,0.0	,34.68000000000001	,14.680000000000003	,0.0	,None
2019-04-27	,0.0	,32.92	,13.780000000000003	,0.0	,None
2019-04-28	,0.0	,32.10000000000001	,11.02	,0.0	,None
2019-04-29	,0.0	,28.560000000000002	,12.000000000000002	,0.0	,None
2019-04-30	,0.0	,24.175	,10.275	,0.0	,None
2019-05-01	,0.0	,25.340000000000003	,8.580000000000002	,0.0	,None
2019-05-02	,0.0	,27.440000000000005	,9.120000000000001	,0.0	,None
2019-05-03	,0.0	,29.560000000000002	,10.440000000000001	,0.0	,None
2019-05-04	,0.0	,30.880000000000003	,10.56	,0.0	,None
2019-05-05	,0.0	,27.925	,8.900000000000002	,0.0	,None
2019-05-06	,0.0	,24.875	,10.125	,0.0	,None
2019-05-07	,0.0	,27.22	,10.320000000000002	,0.0	,None
2019-05-08	,0.0	,28.76	,11.42	,0.0	,None
2019-05-09	,1.2000000000000002	,28.560000000000002	,12.900000000000002	,0.0	,None
2019-05-10	,13.624999999999996	,26.44	,12.780000000000001	,0.0	,None
2019-05-11	,0.0	,29.560000000000002	,12.440000000000001	,0.0	,None
2019-05-12	,0.0	,31.66	,13.240000000000002	,0.0	,None
2019-05-13	,0.0	,32.0	,13.260000000000002	,0.0	,None
2019-05-14	,0.0	,29.000000000000004	,11.980000000000002	,0.0	,None
2019-05-15	,28.642857142857146	,27.320000000000004	,14.320000000000002	,0.0	,None
2019-05-16	,143.125	,21.759999999999998	,10.540000000000001	,0.0	,None
2019-05-17	,61.625	,20.34	,9.780000000000001	,0.0	,None
2019-05-18	,26.857142857142858	,20.76	,8.700000000000003	,0.0	,None
2019-05-19	,137.31250000000003	,18.12	,9.680000000000001	,0.0	,None
2019-05-20	,51.05882352941177	,19.68	,7.000000000000001	,0.0	,None
2019-05-21	,17.78571428571429	,20.0	,9.34	,0.0	,None
2019-05-22	,55.70588235294119	,19.780000000000005	,10.66	,0.0	,None
2019-05-23	,9.166666666666666	,22.225	,12.5	,0.0	,None
2019-05-24	,17.500000000000004	,24.700000000000003	,13.325	,0.0	,None
2019-05-25	,0.3846153846153846	,27.320000000000004	,12.120000000000001	,0.0	,None
2019-05-26	,44.15384615384616	,17.900000000000002	,10.0	,0.0	,None
2019-05-27	,81.17647058823529	,19.34	,7.000000000000001	,0.0	,None
2019-05-28	,0.0	,20.68	,11.56	,0.0	,None
2019-05-29	,0.0	,27.625	,14.45	,0.0	,None
2019-05-30	,8.357142857142858	,30.66	,14.340000000000002	,0.0	,None
2019-05-31	,0.0	,31.560000000000006	,14.320000000000002	,0.0	,None
2019-06-01	,0.0	,32.65	,15.150000000000002	,0.0	,None
2019-06-02	,0.0	,32.5	,16.1	,0.0	,None
2019-06-03	,0.0	,33.05	,15.55	,0.0	,None
2019-06-04	,0.0	,35.10000000000001	,18.560000000000002	,0.0	,None
2019-06-05	,0.0	,37.44	,21.000000000000004	,0.0	,None
2019-06-06	,0.0	,35.42	,17.759999999999998	,0.0	,None
2019-06-07	,0.0	,30.020000000000003	,12.32	,0.0	,None
2019-06-08	,0.0	,28.78	,10.200000000000003	,0.0	,None
2019-06-09	,0.0	,34.10000000000001	,13.100000000000003	,0.0	,None
2019-06-10	,0.0	,37.78	,18.560000000000002	,0.0	,None
2019-06-11	,0.0	,38.980000000000004	,20.34	,0.0	,None
2019-06-12	,0.0	,40.68000000000001	,21.66	,0.0	,None
2019-06-13	,0.0	,38.580000000000005	,18.98	,0.0	,None
2019-06-14	,0.0	,34.900000000000006	,16.2	,0.0	,None
2019-06-15	,0.0	,34.56	,17.32	,0.0	,None
2019-06-16	,0.0	,33.760000000000005	,14.660000000000002	,0.0	,None
2019-06-17	,0.0	,35.0	,16.48	,0.0	,None
2019-06-18	,0.0	,36.900000000000006	,18.240000000000002	,0.0	,None
2019-06-19	,0.0	,38.339999999999996	,19.220000000000002	,0.0	,None
2019-06-20	,0.0	,35.120000000000005	,17.8	,0.0	,None
2019-06-21	,0.0	,32.88	,15.000000000000002	,0.0	,None
2019-06-22	,0.0	,33.88000000000001	,14.88	,0.0	,None
2019-06-23	,0.0	,36.46	,16.78	,0.0	,None
2019-06-24	,0.0	,37.36	,16.880000000000003	,0.0	,None
2019-06-25	,0.0	,36.34	,16.560000000000002	,0.0	,None
2019-06-26	,0.0	,33.14000000000001	,13.600000000000001	,0.0	,None
2019-06-27	,0.0	,29.425000000000004	,12.500000000000002	,0.0	,None
2019-06-28	,0.0	,30.220000000000006	,12.579999999999998	,0.0	,None
2019-06-29	,0.0	,32.56	,12.46	,0.0	,None
2019-06-30	,0.0	,33.96	,12.900000000000002	,0.0	,None
2019-07-01	,0.0	,34.32	,13.75	,0.0	,None
2019-07-02	,0.0	,33.760000000000005	,13.05	,0.0	,None
2019-07-03	,0.0	,32.775	,12.500000000000002	,0.0	,None
2019-07-04	,0.0	,33.6	,13.350000000000001	,0.0	,None
2019-07-05	,0.0	,35.24000000000001	,15.525000000000002	,0.0	,None
2019-07-06	,0.0	,36.400000000000006	,16.8	,0.0	,None
2019-07-07	,0.0	,34.025000000000006	,15.975000000000001	,0.0	,None
2019-07-08	,0.0	,34.0	,13.475000000000001	,0.0	,None
2019-07-09	,0.0	,32.475	,12.200000000000001	,0.0	,None
2019-07-10	,0.0	,34.32	,11.22	,0.0	,None
2019-07-11	,0.0	,35.85000000000001	,16.1	,0.0	,None
2019-07-12	,0.0	,37.400000000000006	,18.433333333333337	,0.0	,None
2019-07-13	,0.0	,38.65714285714285	,19.142857142857142	,0.0	,None
2019-07-14	,0.0	,38.87142857142858	,18.728571428571435	,0.0	,None
2019-07-15	,0.0	,37.714285714285715	,18.242857142857144	,0.0	,None
2019-07-16	,0.0	,35.07142857142857	,16.75714285714286	,0.0	,None
2019-07-17	,0.0	,34.88333333333333	,16.650000000000002	,0.0	,None
2019-07-18	,0.0	,36.61428571428572	,17.771428571428572	,0.0	,None
2019-07-19	,0.0	,35.62857142857143	,17.62857142857143	,0.0	,None
2019-07-20	,0.0	,34.828571428571436	,17.214285714285715	,0.0	,None
2019-07-21	,0.0	,36.44285714285715	,18.271428571428576	,0.0	,None
2019-07-22	,0.0	,38.80000000000001	,20.728571428571428	,0.0	,None
2019-07-23	,0.0	,38.800000000000004	,21.82857142857143	,0.0	,None
2019-07-24	,0.0	,39.657142857142865	,21.414285714285718	,0.0	,None
2019-07-25	,0.0	,39.82857142857144	,22.471428571428575	,0.0	,None
2019-07-26	,0.5714285714285714	,39.900000000000006	,22.400000000000002	,0.0	,None
2019-07-27	,0.0	,40.07142857142857	,20.242857142857147	,0.0	,None
2019-07-28	,0.0	,40.95	,21.400000000000006	,0.0	,None
2019-07-29	,0.0	,39.34285714285715	,19.771428571428576	,0.0	,None
2019-07-30	,0.0	,37.3857142857143	,17.300000000000004	,0.0	,None
2019-07-31	,0.0	,36.67142857142858	,16.814285714285717	,0.0	,None
2019-08-01	,0.0	,36.67142857142858	,17.042857142857144	,0.0	,None
2019-08-02	,0.0	,36.02857142857143	,16.828571428571433	,0.0	,None
2019-08-03	,0.0	,37.45714285714287	,18.571428571428573	,0.0	,None
2019-08-04	,0.0	,39.028571428571425	,19.700000000000003	,0.0	,None
2019-08-05	,0.0	,37.25714285714287	,19.528571428571432	,0.0	,None
2019-08-06	,0.0	,38.32857142857143	,19.45714285714286	,0.0	,None
2019-08-07	,0.0	,37.77142857142858	,18.25714285714286	,0.0	,None
2019-08-08	,0.0	,34.916666666666664	,17.133333333333336	,0.0	,None
2019-08-09	,0.0	,33.571428571428584	,15.300000000000002	,0.0	,None
2019-08-10	,0.0	,32.38571428571429	,15.885714285714288	,0.0	,None
2019-08-11	,0.0	,31.985714285714288	,15.700000000000003	,0.0	,None
2019-08-12	,0.0	,34.37142857142857	,16.32857142857143	,0.0	,None
2019-08-13	,0.0	,36.91428571428572	,17.371428571428574	,0.0	,None
2019-08-14	,0.0	,39.20000000000001	,18.828571428571433	,0.0	,None
2019-08-15	,0.0	,40.400000000000006	,20.242857142857144	,0.0	,None
