Date	,Precipitation (mm)	,Max Temp (C)	,Min Temp (C)	,Snowfall (mm)	,Snow Depth(mm)	,Cold Stress Events	,Heat Stress Events
2020-02-13	,0.0	,16.32	,3.2300000000000004	,0.0	,None	,3.2300000000000004	,None
2020-02-14	,0.0	,17.169999999999998	,3.25	,0.0	,None	,3.25	,None
2020-02-15	,0.0	,16.76	,3.9499999999999997	,0.0	,None	,3.9499999999999997	,None
2020-02-16	,0.0	,17.28	,5.17	,0.0	,None	,5.17	,None
2020-02-17	,0.0	,17.650000000000002	,3.57	,0.0	,None	,3.57	,None
2020-02-18	,0.0	,16.740000000000002	,3.2700000000000005	,0.0	,None	,3.2700000000000005	,None
2020-02-19	,0.0	,16.71	,3.6600000000000006	,0.0	,None	,3.6600000000000006	,None
2020-02-20	,0.0	,17.84	,3.96	,0.0	,None	,3.96	,None
2020-02-21	,0.0	,19.4	,5.12	,0.0	,None	,5.12	,None
2020-02-22	,0.24999999999999997	,18.8375	,6.3875	,0.0	,None	,6.3875	,None
2020-02-23	,0.0	,16.9	,3.3800000000000003	,0.0	,None	,3.3800000000000003	,None
2020-02-24	,0.0	,16.9	,3.32	,0.0	,None	,3.32	,None
2020-02-25	,0.0	,18.180000000000003	,4.010000000000001	,0.0	,None	,4.010000000000001	,None
2020-02-26	,0.0	,20.510000000000005	,5.460000000000001	,0.0	,None	,5.460000000000001	,None
2020-02-27	,0.0	,22.380000000000003	,6.540000000000001	,0.0	,None	,6.540000000000001	,None
2020-02-28	,0.0	,22.89	,7.370000000000001	,0.0	,None	,7.370000000000001	,None
2020-02-29	,0.0	,22.000000000000004	,7.02	,0.0	,None	,7.02	,None
2020-03-01	,0.9916666666666668	,16.29	,4.73	,1.6250000000000002	,None	,4.73	,None
2020-03-02	,1.2230769230769232	,11.330000000000002	,0.9400000000000001	,0.0	,None	,0.9400000000000001	,None
2020-03-03	,0.0	,17.600000000000005	,2.6500000000000004	,0.0	,None	,2.6500000000000004	,None
2020-03-04	,0.0	,20.300000000000004	,5.5600000000000005	,0.0	,None	,5.5600000000000005	,None
2020-03-05	,0.0	,22.670000000000005	,6.890000000000001	,0.0	,None	,6.890000000000001	,None
2020-03-06	,0.0	,22.610000000000003	,5.99	,0.0	,None	,5.99	,None
2020-03-07	,0.0	,18.070000000000007	,5.85	,0.0	,None	,5.85	,None
2020-03-08	,3.990000000000002	,11.000000000000002	,4.3900000000000015	,0.0	,None	,4.3900000000000015	,None
2020-03-09	,0.6125	,13.440000000000001	,4.5600000000000005	,0.0	,None	,4.5600000000000005	,None
2020-03-10	,0.0	,16.79	,5.57	,0.0	,None	,5.57	,None
2020-03-11	,0.9785714285714289	,18.929999999999996	,6.380000000000001	,0.0	,None	,6.380000000000001	,None
2020-03-12	,1.1000000000000003	,19.490000000000002	,6.5600000000000005	,0.0	,None	,6.5600000000000005	,None
2020-03-13	,0.08333333333333331	,19.7	,5.99	,0.0	,None	,5.99	,None
2020-03-14	,4.421428571428573	,16.71	,6.0	,0.0	,None	,6.0	,None
2020-03-15	,26.650000000000002	,10.71	,6.009999999999999	,1.6250000000000002	,None	,6.009999999999999	,None
2020-03-16	,57.8125	,8.155555555555557	,4.077777777777778	,25.500000000000004	,None	,4.077777777777778	,None
2020-03-17	,61.67500000000001	,6.6	,0.8500000000000002	,63.99999999999999	,None	,0.8500000000000002	,None
2020-03-18	,2.2750000000000004	,10.379999999999999	,0.45000000000000007	,0.0	,None	,0.45000000000000007	,None
2020-03-19	,2.0357142857142865	,11.780000000000001	,1.5499999999999998	,1.6250000000000002	,None	,1.5499999999999998	,None
2020-03-20	,3.1428571428571423	,12.849999999999998	,1.1	,2.166666666666667	,None	,1.1	,None
2020-03-21	,0.7999999999999999	,14.650000000000002	,2.8200000000000003	,0.0	,None	,2.8200000000000003	,None
2020-03-22	,0.30000000000000004	,15.12	,4.22	,0.0	,None	,4.22	,None
2020-03-23	,8.762499999999998	,14.380000000000003	,5.51	,0.0	,None	,5.51	,None
2020-03-24	,18.723076923076928	,12.180000000000001	,5.880000000000002	,0.0	,None	,5.880000000000002	,None
2020-03-25	,10.075000000000003	,9.720000000000002	,3.5800000000000005	,9.500000000000002	,None	,3.5800000000000005	,None
2020-03-26	,8.678571428571427	,9.719999999999999	,0.9000000000000004	,3.1250000000000004	,None	,0.9000000000000004	,None
2020-03-27	,4.035714285714287	,11.170000000000003	,-0.3300000000000002	,0.0	,None	,-0.3300000000000002	,None
2020-03-28	,0.275	,12.110000000000003	,1.32	,0.0	,None	,1.32	,None
2020-03-29	,1.75	,11.849999999999998	,3.34	,0.0	,None	,3.34	,None
2020-03-30	,0.7642857142857142	,14.720000000000002	,4.110000000000001	,0.0	,None	,4.110000000000001	,None
2020-03-31	,0.275	,17.04	,5.250000000000001	,0.0	,None	,5.250000000000001	,None
2020-04-01	,0.0	,18.46	,4.880000000000002	,0.0	,None	,4.880000000000002	,None
2020-04-02	,0.0	,15.78	,2.0	,0.0	,None	,2.0	,None
2020-04-03	,0.0	,16.11	,2.2199999999999998	,0.0	,None	,2.2199999999999998	,None
2020-04-04	,0.0	,15.279999999999998	,2.6	,0.0	,None	,2.6	,None
2020-04-05	,9.835714285714285	,12.890000000000002	,2.4899999999999998	,0.0	,None	,2.4899999999999998	,None
2020-04-06	,70.67058823529413	,9.780000000000001	,2.1699999999999995	,69.9	,None	,2.1699999999999995	,None
2020-04-07	,17.676470588235297	,11.570000000000002	,2.5000000000000004	,0.0	,None	,2.5000000000000004	,None
2020-04-08	,0.06666666666666668	,16.119999999999997	,4.61	,0.0	,None	,4.61	,None
2020-04-09	,5.100000000000001	,14.590000000000002	,6.9	,0.0	,None	,6.9	,None
2020-04-10	,0.9461538461538462	,13.89	,5.84	,0.0	,None	,5.84	,None
2020-04-11	,0.275	,16.720000000000006	,6.7700000000000005	,0.0	,None	,6.7700000000000005	,None
2020-04-12	,0.0	,17.599999999999998	,8.06	,0.0	,None	,8.06	,None
2020-04-13	,0.16666666666666663	,18.490000000000002	,6.910000000000002	,0.0	,None	,6.910000000000002	,None
2020-04-14	,0.0	,19.79	,5.45	,0.0	,None	,5.45	,None
2020-04-15	,0.0	,21.620000000000005	,6.370000000000001	,0.0	,None	,6.370000000000001	,None
2020-04-16	,0.0	,22.610000000000003	,8.340000000000002	,0.0	,None	,8.340000000000002	,None
2020-04-17	,0.0	,21.669999999999998	,9.170000000000002	,0.0	,None	,None	,None
2020-04-18	,2.233333333333334	,18.55	,8.55	,0.0	,None	,8.55	,None
2020-04-19	,0.0	,16.659999999999997	,6.550000000000001	,0.0	,None	,6.550000000000001	,None
2020-04-20	,0.0	,18.060000000000006	,7.540000000000001	,0.0	,None	,7.540000000000001	,None
2020-04-21	,0.08	,18.17	,6.0600000000000005	,0.0	,None	,6.0600000000000005	,None
2020-04-22	,0.0	,21.070000000000004	,8.29	,0.0	,None	,8.29	,None
2020-04-23	,0.0	,24.07	,9.940000000000001	,0.0	,None	,None	,None
2020-04-24	,0.0	,25.380000000000003	,11.2	,0.0	,None	,None	,None
2020-04-25	,0.0	,27.34	,12.389999999999999	,0.0	,None	,None	,None
2020-04-26	,0.0	,27.088888888888892	,11.78888888888889	,0.0	,None	,None	,None
2020-04-27	,0.0	,26.33	,10.17	,0.0	,None	,None	,None
2020-04-28	,0.0	,26.930000000000003	,11.560000000000002	,0.0	,None	,None	,None
2020-04-29	,0.0	,27.939999999999998	,13.780000000000001	,0.0	,None	,None	,None
2020-04-30	,0.0	,26.840000000000003	,11.34	,0.0	,None	,None	,None
